santo,modelo,tamanho,quantidade
Sagrada Família,1,16,155
Santa Gianna,2,16,21
São José,1,12,1
Santa Teresinha,4,12,10
Santa Teresinha Criança,6,12,6
Santa Teresinha Personalizada,1,12,5
Pais de Teresinha Personalizada,1,12,3
Nossa Senhora de Fátima,2,12,8
Santa Gianna Personalizada,1,12,7
Nossa Senhora de Lourdes,1,12,3
Nossa Senhora de Guadalupe,2,12,3
Sagrada Família Personalizada,1,12,5
Nossa Senhora do Advento,1,12,5
Santa Elena Guerra Personalizada,1,12,8
São João Paulo II,4,12,3
São João Paulo II Personalizada,1,12,8
Carlo Acutis,1,12,5
Carlo Acutis,2,12,5
Padre Jonas,1,12,3
Frei Alberto,1,12,2
Personalizada,6,12,7
São José,7,12,5
São José Terror dos Demônios,3,12,5
São José,1,12,2
Santa Gemma Personalizada,1,12,2
Padre Cícero,1,12,3
Frei Damião,1,12,3
Padre Ibiapina,1,12,3
Guido,1,12,3
Dom Henrique,1,12,3
São Padre Pio,1,12,5
São Francisco,1,12,2
São Miguel,1,12,5
Santa Rita de Cássia,1,12,5
Santa Dulce,1,12,3
Beata Benigna,1,12,2
São Tarcísio,1,12,1
São Paulo,1,12,2
Santa Faustina,1,12,2
Jesus Misericordioso,1,12,2
Santa Teresinha,1,12,5
São Francisco,1,12,5
São José,1,12,5
Filho Pródigo Acamps,1,12,5
Nossa Senhora Toda Pequena,1,12,5
Carlo Acutis,1,12,5
Nossa Senhora do Silêncio,1,12,2
Ressuscitado,1,12,1
